iConf CONFORMER     FL  occ    crg   Em0  pKa0 ne nH    vdw0    vdw1    tors    epol   dsolv   extra    history
00001 IRE01A0001_001 f 0.00 -0.004     0  0.00  0  0 000.000   0.000   0.000   0.000  -0.411   0.212 01O000M000t
00002 IRE+1A0001_002 f 0.00  1.004     0  0.00  0  0 000.000   0.000   0.000   0.000  -0.711   0.717 +1O000M000t
00003 IRE+2A0001_003 f 0.00  0.995     0  0.00  0  0 000.000   0.000   0.000   0.000   0.338   3.728 +2O000M000t
00004 IRE+2A0001_004 t 0.00  0.995     0  0.00  0  0 000.000   0.000   0.000   0.000   0.203   3.728 +2O000M000t
00005 IRE+3A0001_005 f 0.00  1.000     0  0.00  0  0 000.000   0.000   0.000   0.000  -0.943   4.395 +3O000M000t
00006 IRE+aA0001_006 f 0.00  1.995     0  0.00  0  0 000.000   0.000   0.000   0.000   0.260   4.412 +aO000M000t
00007 IRE+aA0001_007 t 0.00  1.995     0  0.00  0  0 000.000   0.000   0.000   0.000   0.097   4.412 +aO000M000t
00008 IREDMA0001_008 t 0.00  0.000     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   0.000         DMt
